Module,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_0_.sca_GTrnd36-0-20100509-14:12:22-10426_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_1_.sca_GTrnd36-1-20100509-14:12:22-10427_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_2_.sca_GTrnd36-2-20100509-14:16:41-10642_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_0_.sca_GTrnd36-3-20100509-14:16:52-10646_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_1_.sca_GTrnd36-4-20100509-14:20:38-10929_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_2_.sca_GTrnd36-5-20100509-14:21:46-10933_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_0_.sca_GTrnd36-6-20100509-14:26:50-11140_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_1_.sca_GTrnd36-7-20100509-14:26:57-11144_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_2_.sca_GTrnd36-8-20100509-14:32:44-11413_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_0_.sca_GTrnd36-9-20100509-14:33:15-11417_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_1_.sca_GTrnd36-10-20100509-14:37:57-11624_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_2_.sca_GTrnd36-11-20100509-14:39:34-11628_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_0_.sca_GTrnd36-12-20100509-14:44:40-11914_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_1_.sca_GTrnd36-13-20100509-14:45:41-12121_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_2_.sca_GTrnd36-14-20100509-14:51:35-12399_packets dropped by queue
NetworkMultiRadioIPv4.mobileHost[0].wlan[0].mgmt,0,0,43,94,0,577,386,0,681,326,0,1040,392,0,1111
NetworkMultiRadioIPv4.mobileHost[0].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[0].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[1].wlan[0].mgmt,0,0,0,695,68,0,785,0,0,0,29,0,158,53,1420
NetworkMultiRadioIPv4.mobileHost[1].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[1].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[2].wlan[0].mgmt,599,0,0,356,0,0,323,0,0,414,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[2].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[2].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[3].wlan[0].mgmt,0,0,0,0,0,0,0,100,0,1360,238,0,198,148,0
NetworkMultiRadioIPv4.mobileHost[3].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[3].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[4].wlan[0].mgmt,0,0,0,0,0,0,669,0,0,1746,0,0,1705,0,297
NetworkMultiRadioIPv4.mobileHost[4].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[4].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
