File,Run,Module,numCollision
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[0].wlan[0].mac,7705
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[0].wlan[1].mac,1053
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[0].wlan[2].mac,319
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[1].wlan[0].mac,12864
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[1].wlan[1].mac,1468
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[1].wlan[2].mac,684
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[2].wlan[0].mac,12412
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[2].wlan[1].mac,2559
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[2].wlan[2].mac,989
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[3].wlan[0].mac,8781
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[3].wlan[1].mac,2010
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[3].wlan[2].mac,843
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[4].wlan[0].mac,14909
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[4].wlan[1].mac,1109
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[4].wlan[2].mac,428
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[5].wlan[0].mac,4431
GTrnd36_par40_0_.sca,GTrnd36-0-20100509-14:12:22-10426,NetworkMultiRadioIPv4.mobileHost[5].wlan[1].mac,425
