File,Run,Module,numGivenUp
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[0].wlan[0].mac,3
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[0].wlan[1].mac,2
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[0].wlan[2].mac,185
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[1].wlan[0].mac,57
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[1].wlan[1].mac,16
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[1].wlan[2].mac,4
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[2].wlan[0].mac,6
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[2].wlan[1].mac,91
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[2].wlan[2].mac,5
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[3].wlan[0].mac,25
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[3].wlan[1].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[3].wlan[2].mac,137
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[4].wlan[0].mac,0
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[4].wlan[1].mac,0
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[4].wlan[2].mac,0
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[5].wlan[0].mac,2
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[5].wlan[1].mac,61
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[5].wlan[2].mac,180
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[6].wlan[0].mac,47
