File,Run,Module,numGivenUp
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[0].wlan[0].mac,45
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[0].wlan[1].mac,31
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[0].wlan[2].mac,39
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[1].wlan[0].mac,34
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[1].wlan[1].mac,36
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[1].wlan[2].mac,28
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[2].wlan[0].mac,58
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[2].wlan[1].mac,61
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[2].wlan[2].mac,53
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[3].wlan[0].mac,47
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[3].wlan[1].mac,23
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[3].wlan[2].mac,33
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[4].wlan[0].mac,0
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[4].wlan[1].mac,0
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[4].wlan[2].mac,0
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[5].wlan[0].mac,100
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[5].wlan[1].mac,82
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[5].wlan[2].mac,62
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[6].wlan[0].mac,42
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[6].wlan[1].mac,37
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[6].wlan[2].mac,30
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[7].wlan[0].mac,63
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[7].wlan[1].mac,55
random36_par40_0_.sca,random36-0-20100509-12:06:09-3911,NetworkMultiRadioIPv4.mobileHost[7].wlan[2].mac,46
